step,train_loss,val_loss,clip_score
64,0.045767,0.056348,nan
128,0.053421,0.048325,nan
192,0.033672,0.061738,nan
256,0.026300,0.054835,nan
320,0.038306,0.053883,nan
384,0.041936,0.047082,nan
448,0.024562,0.053165,nan
512,0.056939,0.049512,nan
576,0.057775,0.041855,nan
640,0.055464,0.040962,nan
704,0.063277,0.047596,nan
768,0.034256,0.046509,nan
832,0.044241,0.044274,nan
896,0.053751,0.051231,nan
960,0.044267,0.044335,nan
1024,0.056604,0.044099,nan
