step,train_loss,val_loss,clip_score
64,0.046463,0.055904,nan
128,0.052113,0.048180,nan
192,0.033631,0.061098,nan
256,0.026259,0.054249,nan
320,0.037611,0.053705,nan
384,0.040954,0.046911,nan
448,0.024158,0.053028,nan
512,0.056510,0.049298,nan
576,0.057516,0.041585,nan
640,0.055348,0.040868,nan
704,0.062757,0.047521,nan
768,0.033950,0.046607,nan
832,0.044277,0.044227,nan
896,0.052876,0.051144,nan
960,0.044258,0.044205,nan
1024,0.056924,0.044045,nan
